Property_ID,Location,Area_sq_ft,Bedrooms,Bathrooms,Year_Built,Amenities,Price
P00046,Jameston,1598,1,3,1986,Garden,866613
P00047,Port Rachel,1145,5,2,2017,Garden,840074
P00048,South Melanie,2575,2,3,2003,Garden,235638
P00049,Michaelmouth,2598,4,3,1998,Pool,456321
P00050,Kristopherfort,2129,1,3,2015,Garden,87784
P00051,Amberburgh,688,4,3,1995,None,946086
P00052,Port Benjamin,4792,2,2,2009,Garage,130585
P00053,Collierside,3960,5,3,1989,None,496115
P00054,Lake Charles,4531,3,3,2020,Garden,778021
P00055,Watsonmouth,4601,5,1,1998,Garden,64983
P00056,Brooksburgh,3838,3,3,2010,Garage,820186
P00057,South Amanda,3344,3,2,1987,Garage,380108
P00058,East Shannon,4209,4,1,1989,None,443253
P00059,Sandrastad,322,2,3,2018,Pool,363736
P00060,Nicoleburgh,1331,2,3,1997,None,649156
P00061,Port Henry,4475,3,2,2003,Garden,639784
P00062,Port Gordonbury,2136,1,1,1988,Garage,427052
P00063,Taylorborough,4495,5,3,1998,Pool,492982
P00064,North Amandachester,3580,5,1,2015,Garage,451975
P00065,North Pamelafurt,2199,2,2,2009,Garden,790221
P00066,West Justinview,1231,2,1,2010,None,644865
P00067,Jasminehaven,1667,5,1,1983,Garage,216484
P00068,Hamiltonville,4131,1,2,1990,Pool,973591
P00069,Yuburgh,2924,2,3,2015,Pool,201281
P00070,Bowersmouth,4203,2,2,2012,Garden,483526
P00071,Josephville,2419,3,2,2009,Garage,99259
P00072,Lake Lindamouth,2776,1,3,1982,Garage,548297
P00073,Pruittmouth,524,2,3,2010,Pool,560647
P00074,Jessicaland,4152,1,3,2004,Garden,415575
P00075,East Charles,1133,5,3,1992,Garage,749235
P00076,South Justinshire,1263,2,2,2012,Garage,285142
P00077,East Robert,2644,1,2,2012,Garage,417233
P00078,New Annetteville,3242,1,3,1998,Garage,177378
P00079,Vangside,4495,4,3,1992,Garden,829248
P00080,Tracyfort,4761,4,1,1997,Garage,283163
P00081,Laurenmouth,1773,2,3,2012,Pool,646441
P00082,Courtneyland,2606,4,2,1998,Pool,142398
P00083,Stanleyberg,4732,5,1,2008,Garden,513161
P00084,Sanchezmouth,2780,3,3,2016,Pool,361557
P00085,Laurenport,1504,2,3,2018,Garden,91081
P00086,Garretttown,1502,4,3,1986,None,50591
P00087,North Angela,2102,2,2,2004,Garage,940547
P00088,Jeffreymouth,4116,4,1,2014,None,199543
P00089,Port Karen,538,3,1,2007,Pool,839657
P00090,Kerryhaven,2999,4,1,1994,Garden,154021
P00091,West Krystal,2232,3,3,1991,Garden,89104
P00092,Rachelmouth,2690,1,2,1998,Garden,461410
P00093,New Christineburgh,2660,5,1,2002,Garage,146302
P00094,East Christine,1971,4,3,1995,Pool,886108
P00095,Snydermouth,768,5,3,1992,Pool,858627
P00096,East Trevorchester,1514,4,3,1988,Garage,742475
P00097,South Bruce,2571,4,2,1989,Pool,238225
P00098,Harrisport,2730,1,2,2019,Pool,359739
P00099,South Ryan,3865,4,2,2006,Pool,884943
P00100,East Julieshire,4968,5,1,1995,Garage,581366
P00101,West James,2127,2,3,2020,None,421060
P00102,North Jesseborough,4264,3,2,1999,Garden,926813
P00103,Russellport,2117,1,1,2003,Garden,937224
P00104,Jonesside,1440,2,3,2008,None,856061
P00105,Lorifort,2577,2,3,1983,Garage,956971
P00106,Jeffreystad,4932,3,3,1992,Pool,841744
P00107,Laurenchester,3157,5,1,1980,Garage,427881
P00108,West Benjamin,1939,3,3,1994,Pool,208888
P00109,North Wendy,1290,1,1,2006,Garden,742906
P00110,Port Amber,1662,5,1,1995,None,305451
P00111,Port David,2664,2,2,2019,None,489424
P00112,Reginaberg,2124,3,1,2011,Pool,217240
P00113,North Kennethberg,2521,3,1,2017,Pool,324030
P00114,New Valerie,1276,2,2,1988,Garage,207626
P00115,New Nicholasfurt,3545,2,3,1984,Pool,840570
P00116,Charlesstad,4017,4,1,2018,Pool,407357
P00117,New Brittney,2512,5,2,1991,Garden,930264
P00118,East Andrea,1803,4,3,1985,None,214086
P00119,Lisaland,1863,1,1,1987,Pool,52714
P00120,Jonesside,843,5,2,2002,Garage,638445
P00121,Steintown,2442,1,3,1986,Pool,337897
P00122,Lake Andrew,4539,1,2,1980,Garden,468027
P00123,South Judy,3038,1,2,2011,None,832281
P00124,Benjaminburgh,2815,5,3,1997,Garden,678325
P00125,Pamelaville,3187,5,1,1988,Garden,688715
P00126,Mariabury,3782,4,3,2016,Garage,715153
P00127,East Bruceport,4195,5,3,1992,Pool,374035
P00128,Hollyhaven,3723,2,2,1996,None,222173
P00129,South Jacobfurt,1683,2,2,2007,Garage,239623
P00130,Davisland,565,2,3,1983,Garage,917652
P00131,Jonathanchester,4962,3,3,1990,Garden,336630
P00132,South Michealside,1721,4,3,1992,None,797443
P00133,East Patriciamouth,3957,3,1,1980,Garden,445459
P00134,Baileyport,4856,1,3,2018,Pool,660632
P00135,Stephenchester,1950,4,1,2014,Pool,856014
P00136,West Christian,368,2,2,2019,Garden,270639
P00137,North Steventon,2994,3,1,1996,None,269320
P00138,West Ronaldfurt,665,5,1,2008,Pool,495788
P00139,Mendozaburgh,1588,1,1,2019,None,304504
P00140,New Johnstad,1767,5,2,2016,Garage,915805
P00141,Port Brittany,3483,2,2,2004,Garage,141537
P00142,Washingtonberg,3884,4,1,2006,Garage,178826
P00143,Phillipbury,2633,5,3,1991,None,335116
P00144,North Adrienneview,4833,2,1,2012,Garage,374067
P00145,Wrightmouth,3138,5,2,2020,Pool,111944
P00146,Jerryhaven,4285,3,1,1988,None,718073
P00147,Port Donaldburgh,3531,3,1,1989,None,233124
P00148,East Benjamin,4993,1,3,1998,Garden,794752
P00149,West Sharonborough,3325,1,3,1995,None,499158
P00150,East Henry,2145,2,3,2007,Pool,183589
P00151,West Roberthaven,827,5,3,2013,None,406744
P00152,Port Danaborough,2301,4,2,2015,Garden,488336
P00153,Smithstad,1682,5,2,2002,Garage,800740
P00154,West Bradleyshire,4941,3,1,1984,None,534113
P00155,Jasonberg,2126,5,2,2003,Garage,831636
P00156,North Colton,4866,5,3,1984,Pool,896906
P00157,Johnsontown,1088,2,3,2018,Pool,378235
P00158,Mayoborough,3056,2,2,2015,None,146978
P00159,Carolyntown,3324,3,2,2004,Garage,275804
P00160,Port Vanessashire,2739,5,3,1985,Garage,412079
P00161,Howardland,579,2,2,2002,Garage,238733
P00162,Moraleshaven,844,3,2,1990,Garage,589001
P00163,East Jamesfort,1837,2,3,2009,Pool,708026
P00164,Mccartyborough,766,5,3,2007,None,677769
P00165,North Amyberg,1337,5,3,2018,Garden,747691
P00166,South Michael,2299,1,1,2006,None,505871
P00167,New Allisontown,2626,2,1,1996,Garden,650864
P00168,South Jennifer,484,5,1,2013,None,229293
P00169,South Amandaview,1947,3,3,2005,None,719679
P00170,West Amy,1035,1,3,1995,Garage,562534
P00171,Katieside,2240,2,2,1992,Garage,407624
P00172,Cookton,3198,3,3,2018,Pool,213526
P00173,Sharonshire,4072,4,2,2020,Pool,989223
P00174,Rayfort,2775,1,1,2020,Garden,159150
P00175,South Eric,1358,3,2,1982,Garage,952504
P00176,Port Marissaburgh,721,4,1,2020,None,745276
P00177,Williamsmouth,1617,3,3,1988,Garage,601029
P00178,Chenshire,953,2,3,2017,None,348299
P00179,Lake Billfurt,3179,5,3,1995,Pool,251824
P00180,Jenniferbury,4825,3,2,2020,Garage,665656
P00181,Lake Matthew,2534,1,3,1999,Garage,765322
P00182,Donaldshire,3893,2,3,2003,Garden,776645
P00183,South Jennifer,2417,3,1,2009,Pool,819949
P00184,Carolfort,3943,1,2,1981,Garden,337344
P00185,Carrview,4939,5,3,1982,Pool,81155
P00186,New Larry,2044,3,3,1990,None,110785
P00187,New Bruce,4762,1,2,2000,Pool,232286
P00188,Smithville,650,2,1,2015,Garden,512423
P00189,New Jamesbury,532,3,2,2013,Pool,207988
P00190,Parkerside,4615,1,1,1983,None,291899
P00191,Lisachester,1322,4,1,2007,Garage,688342
P00192,Clayport,3015,5,2,1998,Garden,902523
P00193,North Melissamouth,2671,5,1,2013,Garage,711776
P00194,New Jamesmouth,1158,4,2,2020,Garage,224174
P00195,Johnville,2366,5,1,1987,Garden,889184
P00196,East Loretta,4339,5,2,1982,None,839149
P00197,Theresafurt,1642,2,2,2011,Pool,345268
P00198,Kristinaview,892,4,2,2005,Pool,389253
P00199,Watkinsfurt,1794,1,2,1992,Pool,285536
P00200,Reesemouth,1076,3,2,1997,Garage,777403
P00201,Wilkinsshire,2448,1,2,1988,Garage,468654
P00202,Williamton,1447,1,3,1990,Garden,401033
P00203,Scottberg,2351,2,3,1990,None,614938
P00204,Allenmouth,727,3,3,1997,Garage,254320
P00205,South Heathertown,4489,3,1,1985,Garden,484849
P00206,New Hollyborough,1666,5,2,2008,Pool,112257
P00207,North Erichaven,3663,5,1,2016,Garage,50661
P00208,Kevinstad,3964,4,3,1988,None,953862
P00209,North Michaelshire,2333,1,3,2018,Pool,484778
P00210,Monicaville,1835,3,3,1992,Pool,181121
P00211,Kelseyside,3424,3,1,1980,Garden,960718
P00212,South Sherryside,3955,3,2,2000,None,662317
P00213,East Dianashire,3081,1,3,1982,Garage,155201
P00214,East Roger,2329,1,1,1985,Garage,918614
P00215,West Larryview,544,4,3,1997,Pool,759792
P00216,Troyborough,410,5,1,2011,None,991676
P00217,Garyton,3287,2,3,2006,Garden,853137
P00218,Jayshire,3417,3,3,2013,Garage,643957
P00219,Beardville,4620,2,1,2009,None,571557
P00220,South Alexandra,3882,5,1,1996,Pool,891766
P00221,Katherineton,1698,2,2,1983,Garden,479922
P00222,South Lisa,4387,5,2,1981,None,821863
P00223,South George,3860,4,1,2002,Pool,352012
P00224,North David,660,5,1,2018,Garden,83136
P00225,Amyburgh,2863,4,3,2009,None,792122
P00226,North Chase,4060,5,3,2011,Pool,99699
P00227,Weaverville,372,4,3,2020,None,882234
P00228,Lake Paulside,679,2,1,1998,Pool,781500
P00229,Conleyhaven,2850,2,1,2007,None,710187
P00230,Tranville,3798,3,1,2010,Garage,625173
P00231,West Lesliechester,1951,4,3,2016,Pool,160277
P00232,Lake Jacobburgh,2136,4,1,2008,Garage,496866
P00233,Baileyview,1986,1,2,1997,Garage,161335
P00234,New Edward,3459,2,1,1990,Garden,52626
P00235,Bradleybury,3185,4,2,1996,Garage,177136
P00236,Adrianfurt,2060,3,2,2004,None,164542
P00237,East Cameron,3528,5,2,1988,None,171285
P00238,Petersonborough,1829,3,3,2000,None,843474
P00239,Kathleenberg,2281,5,1,1990,None,755971
P00240,Port Michelleshire,4918,3,3,2010,Garage,541031
P00241,South Amandafurt,3245,3,3,2004,Garage,372183
P00242,Frankmouth,1668,1,2,2017,Garden,836328
P00243,Port Katie,4203,1,2,2001,Garden,488867
P00244,Hortonfurt,1963,1,3,2011,Garage,425383
P00245,Port Melissamouth,3563,2,2,2013,Garden,912853
P00246,East Erika,1329,1,3,2004,Garden,873068
P00247,Christophertown,2623,2,3,2001,Garden,951067
P00248,South Randymouth,1682,2,3,2003,None,822091
P00249,Lake Jeffrey,1753,4,2,2011,Garden,291371
P00250,Terrellton,978,3,1,1999,Garden,123961
P00251,Michaelburgh,4701,1,1,2017,None,872424
P00252,New Dominiqueberg,2130,5,3,2011,Garage,737663
P00253,Jonestown,2417,1,3,2005,Garden,207603
P00254,Port Julie,4858,5,2,2013,None,471007
P00255,Campbellfurt,882,3,1,1996,None,517292
P00256,Mooreville,4180,2,1,1992,Pool,685161
P00257,Taylorberg,2719,4,2,1986,None,839378
P00258,Port Nicholas,913,3,1,2011,Garage,233131
P00259,New Garyfurt,1186,5,3,2011,None,660637
P00260,Mckenzieport,3684,1,3,1998,Garden,861841
P00261,Michaelmouth,1665,2,1,2017,None,300984
P00262,West John,2542,4,2,2018,Garden,398815
P00263,North Jillside,4106,5,1,2014,Pool,597063
P00264,Turnerview,4101,4,1,2001,Pool,569063
P00265,West Christopherland,2022,3,1,2017,Garage,901807
P00266,East Adamhaven,2554,5,2,1997,Garage,131204
P00267,New April,4646,2,2,2007,Garage,287080
P00268,North Timchester,1094,4,2,2010,Garage,800593
P00269,Maryshire,626,4,3,1999,Garden,367103
P00270,Port Antonio,4291,4,1,1987,None,434887
P00271,Karentown,4308,4,2,1984,Pool,719154
P00272,Johnsonfurt,2524,4,3,2009,Garden,919389
P00273,Danielberg,617,3,3,1995,Pool,689893
P00274,North Matthewton,862,4,2,1995,Garage,856499
P00275,Davisstad,3480,3,2,2012,Pool,572324
P00276,South Molly,4265,2,3,1985,Pool,810557
P00277,Chasechester,1696,5,2,1994,None,382819
P00278,Lake James,2217,2,3,2019,Garden,179445
P00279,Port Madisonberg,450,5,1,2003,Garage,480133
P00280,Port Amberberg,3284,5,3,2000,Garage,619095
P00281,Richardsonmouth,4318,1,1,1990,Pool,927364
P00282,Fergusontown,2660,3,2,1988,Garage,555287
P00283,Lake Jeremymouth,1631,2,2,1985,Garden,781476
P00284,New Jacobberg,420,3,2,1998,Pool,786199
P00285,Heidiview,4044,1,3,2010,Pool,164557
P00286,New Jenniferburgh,2302,3,2,1986,Pool,346078
P00287,Port Abigailbury,1463,1,3,1991,Garden,652785
P00288,Port Jackton,1703,1,3,1984,Pool,698244
P00289,South Briannashire,1624,4,1,2001,Garden,767753
P00290,East Guyburgh,1264,2,3,2002,Pool,852518
P00291,East Emily,1571,3,2,2005,Garden,528559
P00292,South Matthew,3381,3,3,1993,Pool,283640
P00293,East Steven,1531,5,2,1980,Garage,206284
P00294,Fitzpatrickbury,2920,1,2,2018,None,598002
P00295,Boyerfurt,497,2,3,2016,Garage,236428
P00296,Martintown,4723,4,1,1987,Garden,115430
P00297,Ashleychester,1057,4,1,1985,Garden,678828
P00298,North Thomas,3651,2,3,1980,Garden,70627
P00299,Greenside,753,4,1,1993,Garden,586538
P00300,Michaelchester,3739,5,1,2006,None,974499
P00301,Port Martinbury,1020,2,1,2010,Garden,306762
P00302,West Ashleyton,3343,2,2,2002,None,413310
P00303,Parsonsstad,1278,3,2,2000,Garage,208883
P00304,North Sylviafort,1302,2,2,1999,Garden,626598
P00305,South Cynthialand,2683,4,2,2018,None,974718
P00306,East Danielleside,4985,5,2,2002,Garage,416711
P00307,West Paulton,2339,3,3,1988,Pool,112722
P00308,Lake Mark,953,4,2,2013,None,437572
P00309,South Deanna,2586,4,1,1990,None,962658
P00310,Cohenmouth,2205,3,3,2010,None,756437
P00311,Garciamouth,2430,2,1,2004,None,298050
P00312,Frankberg,4555,2,3,1989,Pool,594343
P00313,West Seantown,2084,4,1,2003,Garage,546307
P00314,Johnstonshire,1977,1,3,1984,Garage,109656
P00315,East Christopher,972,5,2,2007,Garden,325933
P00316,Lake Emily,4719,3,1,1985,Garden,708959
P00317,Lake Audreyshire,3972,3,2,1999,Garden,878415
P00318,Hornefort,4347,2,1,2008,Garage,446963
P00319,Heatherfurt,3864,4,1,1991,None,449540
P00320,North Christopherberg,2429,3,2,2017,Garden,372675
P00321,Joseburgh,2585,4,2,1980,None,900068
P00322,Johnsonborough,4215,4,2,2003,None,195704
P00323,Davishaven,1797,5,3,2001,None,174024
P00324,Edwardview,3547,5,1,2015,None,956351
P00325,Danieltown,1685,2,3,2013,Garage,165033
P00326,South Douglasberg,1288,2,3,2005,Pool,186487
P00327,Port Lauren,833,5,1,1990,None,272320
P00328,Raymondside,4552,4,3,2016,Garden,872379
P00329,New Angelamouth,3153,2,1,1987,None,77456
P00330,Port Kristieland,2768,1,1,1999,Pool,517001
P00331,South Joshua,3209,5,3,2001,Garage,491173
P00332,East Bryanbury,1144,2,1,1993,Garage,680190
P00333,Angelafurt,2181,4,1,1992,None,284550
P00334,Chapmanhaven,2616,5,1,1988,None,363404
P00335,East Elizabeth,4552,5,3,1992,Pool,883044
P00336,Carlsonland,2266,1,2,1980,None,418541
P00337,East Susan,3650,4,2,2001,Garage,914351
P00338,North Robertoshire,389,3,2,1993,None,93319
P00339,East Rogerburgh,2450,2,1,2008,None,275344
P00340,Merrittshire,2831,1,1,2004,Garage,378535
P00341,Dorothyton,479,1,3,2000,Garage,571845
P00342,Duncanton,1825,3,3,2005,None,674560
P00343,Davidview,1338,1,3,1983,Pool,272265
P00344,New Nathan,3417,2,1,2008,Pool,967739
P00345,Lake Codyton,3235,1,1,2016,Pool,720769
P00346,Lopezmouth,4211,4,3,2001,Garage,394885
P00347,East Kylechester,2639,3,1,2008,Garage,586144
P00348,North Jeffreytown,514,4,2,2018,Garden,348588
P00349,Lake Mariotown,1527,5,3,2006,Garage,384181
P00350,Brandontown,3201,5,3,2005,Garden,694481
P00351,Austinbury,3602,5,3,1996,Pool,416511
P00352,Karenborough,847,1,1,1995,None,282702
P00353,Walterville,2971,4,1,2009,None,219339
P00354,New Haroldburgh,3127,4,3,1982,Garage,693228
P00355,Yorkside,3374,4,3,2018,Pool,51595
P00356,Riverabury,1893,1,2,2001,Pool,626942
P00357,Conleyhaven,3097,5,3,1992,None,680949
P00358,Robertfort,403,4,1,1997,Garage,935279
P00359,Rebeccaside,3740,3,3,1980,Garden,471105
P00360,Hayesbury,3294,1,3,1983,Pool,220501
P00361,North Anthony,1796,4,1,2016,None,200335
P00362,South Stephenbury,3264,3,1,1980,None,282201
P00363,East Benjaminfort,3251,1,2,1985,None,86612
P00364,Franklinchester,2800,4,1,2002,Garden,103418
P00365,Stephaniefurt,840,4,1,2011,None,670296
P00366,Robertaside,4343,3,2,1999,Pool,343731
P00367,Adkinshaven,1599,4,3,2010,None,394964
P00368,Lake Michelle,1964,1,2,2018,Garage,166161
P00369,North Daniel,2008,1,3,1992,Garden,840718
P00370,Wellshaven,445,4,2,1988,None,541733
P00371,Jacobsshire,4572,3,2,2002,None,528414
P00372,New Tammy,4130,3,1,2019,Garage,69236
P00373,Vickiville,4744,2,2,1983,Garden,432682
P00374,Kevinburgh,4960,5,3,2001,Garage,468038
P00375,Lake Stevenview,3203,5,3,1981,None,694114
P00376,Barryhaven,3262,1,3,2013,Pool,423376
P00377,Daltonburgh,2538,3,2,2001,Pool,795908
P00378,Lake Jennifer,2582,2,3,1985,Garden,476903
P00379,Margaretfort,3076,5,3,2018,Garden,876593
P00380,North Christopherfurt,2187,5,1,2001,None,783139
P00381,Ashleyview,3181,2,2,2014,None,903350
P00382,Port Tasha,1747,3,1,1989,Pool,597255
P00383,Travisfort,2466,1,1,1982,Garden,292996
P00384,Rubenborough,4230,5,1,2006,None,865930
P00385,Lake Carla,1674,2,3,1997,Pool,949945
P00386,Rileytown,2161,2,2,2007,Garden,581576
P00387,Lewisview,811,1,3,2002,Garden,933501
P00388,West Brittney,3629,5,1,1984,None,471048
P00389,Choiport,2248,5,1,1982,Garden,612976
P00390,West Robert,4250,1,3,2010,Garage,67341
P00391,South Johnnymouth,3628,1,1,2020,None,180188
P00392,Rodrigueztown,4809,5,3,2006,Garage,125533
P00393,Mitchellborough,1075,1,3,2002,Garden,864408
P00394,Lake Briantown,3433,1,2,1995,Pool,933632
P00395,Jonesside,1816,2,1,1995,Pool,578644
P00396,Rachelburgh,4348,5,2,2008,Garden,533934
P00397,North Stephanie,1642,3,3,1982,Garden,798315
P00398,West Kevinhaven,636,1,2,1984,Garden,215147
P00399,Jennifermouth,695,4,1,2012,None,405624
P00400,Lake Melissa,987,1,1,2016,Garage,57349
P00401,West Richardtown,1205,4,2,2019,Pool,120669
P00402,Emilyborough,4051,1,3,2002,None,997478
P00403,South Heatherside,2081,4,3,2012,None,495608
P00404,North Kelly,1295,2,3,1989,None,391165
P00405,Georgeborough,1091,3,1,2002,Pool,370145
P00406,North Samantha,3357,2,1,2020,Pool,711115
P00407,Jessicafurt,1089,5,1,2015,Pool,523465
P00408,Haneyview,2942,2,3,2011,Garage,506463
P00409,West Brenda,4440,4,1,1994,Garden,949447
P00410,New George,2479,2,2,2005,None,696363
P00411,Allisonchester,3042,1,1,1989,Garage,200195
P00412,West Williamburgh,3940,2,1,2012,None,681714
P00413,North Brandonberg,4352,3,2,1989,Garage,433518
P00414,Kellyton,4994,4,1,2011,Garden,959762
P00415,Port Maria,1644,1,3,1988,Pool,560488
P00416,East Stephanieton,3933,5,3,2000,Pool,312316
P00417,Lukeburgh,1592,3,1,2008,Pool,495627
P00418,South Megan,688,5,3,1991,None,189097
P00419,Alvaradoton,530,2,3,2010,Pool,217923
P00420,Willisborough,2583,2,2,2009,Garden,589566
P00421,Jaredhaven,1433,4,1,1995,Garden,781636
P00422,New Taylor,2163,4,2,1995,Garage,664523
P00423,Johnsontown,1056,3,2,2014,Pool,248732
P00424,Lake Leslieberg,4434,3,1,2010,None,186177
P00425,North Lisa,4130,1,3,1991,Pool,512674
P00426,Mistyton,2725,3,3,1980,None,292698
P00427,Obrienborough,2947,2,2,2011,Garden,385404
P00428,Jenniferhaven,2066,2,2,2014,None,756714
P00429,Port Ashley,2599,4,1,2006,None,219294
P00430,Johnhaven,4320,2,1,2013,None,412491
P00431,New Michelle,4743,1,2,2005,Garden,601570
P00432,Georgemouth,2875,5,2,1997,Garden,694049
P00433,Port Catherine,2861,4,2,2003,Garage,971499
P00434,South Sarah,1555,3,2,1983,None,666957
P00435,Port Kristinside,3578,1,1,2002,Garden,907297
P00436,West Christopherton,3172,1,2,2020,Garage,195783
P00437,Maldonadofurt,2306,1,1,2006,Garage,594670
P00438,Stevenfort,3127,5,2,2017,None,930583
P00439,Ortizside,703,4,2,1984,Pool,797793
P00440,Meyerside,890,3,1,2005,Pool,516518
P00441,North John,3766,1,1,2003,None,870296
P00442,Matthewtown,2046,5,1,2000,Garage,627410
P00443,New Hannahborough,3106,4,3,1982,Garage,165656
P00444,West Aaron,4212,4,1,1982,None,848138
P00445,Ortegaville,1108,5,1,2006,Garage,477335
P00446,South Theresa,4043,5,2,1995,Garage,354775
P00447,New Joseph,3826,3,1,2017,Garden,52846
P00448,South Karenberg,2816,3,2,1994,Pool,221799
P00449,Thomasborough,3654,3,2,1992,Pool,499997
P00450,Port Amandaview,4553,4,3,1983,None,924048
P00451,North Christopherborough,3017,4,3,1991,None,902951
P00452,Bakerfort,2462,3,2,1995,Garage,548412
P00453,West Stevenbury,2567,3,1,1981,Garden,444586
P00454,South Michael,3531,2,3,2007,None,82472
P00455,New Davidville,2544,5,2,2019,Garage,676966
P00456,East Dana,1771,5,1,2014,Pool,931996
P00457,Port Christianton,1394,5,2,2013,Pool,776694
P00458,Lake Erin,1157,2,3,1991,Pool,217335
P00459,Bellport,2684,2,1,1994,Pool,96923
P00460,North Nicole,3949,1,2,2017,Garage,570471
P00461,East Stacyburgh,3118,3,2,2020,None,602438
P00462,Russellside,3329,4,1,1987,Garden,761305
P00463,Lake Samuelmouth,1927,3,3,1983,Garage,574388
P00464,Dorothystad,2225,4,2,2000,Pool,358952
P00465,South Scott,2021,2,1,1980,None,972818
P00466,Brownmouth,2171,4,1,2001,None,288089
P00467,Mcdonaldshire,1179,3,2,2004,Garage,392553
P00468,Port Joseph,1380,2,2,2002,Garage,774582
P00469,Johnport,4506,5,1,2003,Garden,238231
P00470,East Nicoleland,2152,1,2,1981,Pool,964099
P00471,Lake Nicholas,1307,1,1,2013,Garden,298333
P00472,New Lisamouth,1374,3,2,1998,Garage,267678
P00473,West Anneport,2768,2,2,1988,Garden,567579
P00474,Hernandezbury,1137,4,1,2013,Pool,241919
P00475,North John,2830,1,3,2019,Garage,916960
P00476,Port Judymouth,2747,4,2,1997,Pool,741020
P00477,Angelafurt,3972,5,3,2011,Pool,587064
P00478,New Lauraton,4735,1,3,1989,Garden,457251
P00479,Bennettmouth,3588,1,2,1998,Garage,768141
P00480,Mccartyton,2003,5,2,1996,None,984108
P00481,Blanchardview,1060,2,2,2017,Garage,614937
P00482,South Douglasland,2850,2,2,2001,Pool,113997
P00483,Gibsonchester,1122,1,1,2012,Garage,848960
P00484,Karenhaven,2061,3,2,1985,Garden,853890
P00485,West Heatherberg,1894,3,1,2006,Garden,117141
P00486,Anthonyland,2706,5,1,2005,None,349171
P00487,New Thomas,2239,1,1,1986,Garage,185176
P00488,South James,1366,5,2,1989,None,400896
P00489,Port Lisashire,2080,4,2,2017,Pool,452044
P00490,Port Scott,4696,1,1,1998,Garden,833281
P00491,New Denisechester,4483,4,3,2010,Pool,147587
P00492,Shawnfurt,4293,3,2,1991,Garage,189185
P00493,Sandrachester,4358,1,2,2020,None,921871
P00494,Jeffreyton,1041,1,1,2020,Garage,665552
P00495,Hernandezchester,4771,1,1,1992,None,610072
P00496,West Angelamouth,3753,1,2,1991,Pool,585057
P00497,North Carolmouth,4920,4,2,1984,Garage,798674
P00498,Lake Edward,4059,2,2,2014,None,474665
P00499,Griffinton,3522,2,3,1999,None,923477
P00500,Belltown,3689,1,3,1998,Garage,205345
P00501,Nicolechester,939,5,3,2004,None,189364
P00502,Port Josetown,2257,4,1,1983,Garden,564697
P00503,East Josephfurt,4881,2,1,1996,Pool,629652
P00504,South Christopher,4496,5,1,1985,Garage,389002
P00505,West Angelaview,4253,4,3,2013,Pool,732129
P00506,Evanshaven,393,1,2,1997,Garage,298490
P00507,Stevenville,701,5,2,2008,Garage,634400
P00508,New Kimchester,3286,2,3,2019,Garage,847550
P00509,North Stephanieborough,738,5,1,2003,Garden,751375
